artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Franz Ferdinand;Take Me Out;237026;2004;104.561;rock;0.663;4;-8.821
Nickelback;Far Away;238173;2005;132.918;rock, metal;0.797;6;-5.153
Katy Perry;Wide Awake;220946;2012;159.814;pop;0.683;5;-5.099
Naughty Boy;La La La;220779;2013;124.988;Dance/Electronic;0.677;6;-4.399
Fifth Harmony;All In My Head (Flex) (feat. Fetty Wap);210573;2016;95.04;pop;0.791;0;-5.194
3 Doors Down;Kryptonite;233933;2000;99.009;pop, rock, metal;0.865;11;-5.708
Pitbull;Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);252306;2011;129.024;hip hop, pop, latin;0.939;8;-3.206
Lil Nas X;Panini;114893;2019;153.848;hip hop, pop;0.594;5;-6.146
Snoop Dogg;Sweat - Remix;195986;2011;130.02;hip hop, pop;0.732;7;-5.636
Offset;Clout (feat. Cardi B);205803;2019;140.022;hip hop, pop;0.622;1;-7.384
Avicii;I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit;208316;2012;127.946;pop, Dance/Electronic;0.79;6;-3.782
Lil Pump;Gucci Gang;124055;2017;119.889;hip hop;0.523;5;-6.71
Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;262133;2001;83.46;hip hop, pop, R&B;0.587;11;-7.93
Justin Bieber;What Do You Mean?;205680;2015;125.02;pop;0.567;5;-8.118
Charli XCX;Boom Clap;169866;2014;91.999;pop, Dance/Electronic;0.911;4;-2.28
Baauer;Harlem Shake;196664;2013;137.825;Dance/Electronic;0.794;0;-5.151
Martin Garrix;In the Name of Love;195706;2016;133.99;pop, Dance/Electronic;0.519;4;-5.88
Shakira;La Tortura (feat. Alejandro Sanz);212893;2005;100.011;pop, latin;0.783;0;-5.367
Linkin Park;Bleed It Out;166373;2007;140.127;rock, metal;0.967;1;-3.647
Destiny's Child;Bootylicious;207906;2001;103.376;pop, R&B;0.835;1;-4.386
Taylor Swift;Love Story;236266;2008;118.984;pop;0.741;2;-3.97
